disease name,lncRNA name,score,Rank
gastrointestinal stromal tumor,TUG1,0.174,23
gastrointestinal stromal tumor,LINC01556,0.172,24
gastrointestinal stromal tumor,TP53COR1,0.17,25
gastrointestinal stromal tumor,GSTT1-AS1,0.168,26
gastrointestinal stromal tumor,MIR155HG,0.164,27
gastrointestinal stromal tumor,DLEU2,0.16,28
gastrointestinal stromal tumor,LINC00675,0.15,29
gastrointestinal stromal tumor,MIAT,0.146,30
colorectal cancer,CDKN2B-AS1,0.94,1
colorectal cancer,SPRY4-IT1,0.92,2
colorectal cancer,WT1-AS,0.878,3
colorectal cancer,MIR17HG,0.854,4
colorectal cancer,PCAT1,0.846,5
colorectal cancer,LINC00675,0.842,6
colorectal cancer,HNF1A-AS1,0.78,7
colorectal cancer,IGF2-AS,0.78,8
colorectal cancer,BCYRN1,0.758,9
colorectal cancer,SOX2-OT,0.75,10
colorectal cancer,PCA3,0.74,11
colorectal cancer,HCP5,0.724,12
colorectal cancer,SNHG12,0.702,13
colorectal cancer,PANDAR,0.686,14
colorectal cancer,MIR155HG,0.684,15
colorectal cancer,GACAT2,0.682,16
colorectal cancer,SNHG1,0.642,17
colorectal cancer,DLEU2,0.62,18
colorectal cancer,MIR100HG,0.602,19
colorectal cancer,CTBP1-AS,0.598,20
colorectal cancer,DISC2,0.594,21
colorectal cancer,KIRREL3-AS3,0.578,22
colorectal cancer,EWSAT1,0.572,23
colorectal cancer,LINC00961,0.568,24
colorectal cancer,CBR3-AS1,0.568,25
colorectal cancer,ZEB1-AS1,0.566,26
colorectal cancer,TINCR,0.554,27
colorectal cancer,HCG4,0.55,28
colorectal cancer,PCGEM1,0.55,29
colorectal cancer,SCHLAP1,0.548,30
nasopharynx carcinoma,MEG3,0.908,1
nasopharynx carcinoma,PVT1,0.89,2
nasopharynx carcinoma,GAS5,0.83,3
nasopharynx carcinoma,KCNQ1OT1,0.818,4
nasopharynx carcinoma,MIR17HG,0.816,5
nasopharynx carcinoma,NEAT1,0.734,6
nasopharynx carcinoma,MIR155HG,0.664,7
nasopharynx carcinoma,XIST,0.65,8
nasopharynx carcinoma,HCP5,0.622,9
nasopharynx carcinoma,SPRY4-IT1,0.62,10
nasopharynx carcinoma,TUG1,0.618,11
nasopharynx carcinoma,SNHG12,0.592,12
nasopharynx carcinoma,ESRG,0.59,13
nasopharynx carcinoma,MIAT,0.582,14
nasopharynx carcinoma,BCYRN1,0.574,15
nasopharynx carcinoma,UCA1,0.572,16
nasopharynx carcinoma,WT1-AS,0.552,17
nasopharynx carcinoma,SOX2-OT,0.544,18
nasopharynx carcinoma,IGF2-AS,0.53,19
nasopharynx carcinoma,CCAT2,0.52,20
nasopharynx carcinoma,BANCR,0.516,21
nasopharynx carcinoma,HNF1A-AS1,0.514,22
nasopharynx carcinoma,TP53COR1,0.504,23
nasopharynx carcinoma,CDKN2A-AS1,0.496,24
nasopharynx carcinoma,LINC00675,0.486,25
nasopharynx carcinoma,LINC00961,0.474,26
nasopharynx carcinoma,CCAT1,0.472,27
nasopharynx carcinoma,HULC,0.468,28
nasopharynx carcinoma,GACAT2,0.456,29
nasopharynx carcinoma,PICSAR,0.444,30
hyperhomocysteinemia,CDKN2B-AS1,0.72,1
hyperhomocysteinemia,HOTAIR,0.41,2
hyperhomocysteinemia,MEG3,0.344,3
hyperhomocysteinemia,KCNQ1OT1,0.272,4
hyperhomocysteinemia,MIR17HG,0.27,5
hyperhomocysteinemia,MALAT1,0.26,6
hyperhomocysteinemia,PVT1,0.228,7
hyperhomocysteinemia,XIST,0.212,8
hyperhomocysteinemia,PCA3,0.174,9
hyperhomocysteinemia,GAS5,0.168,10
hyperhomocysteinemia,CCDC26,0.156,11
hyperhomocysteinemia,GNAS-AS1,0.15,12
hyperhomocysteinemia,LINC00474,0.148,13
hyperhomocysteinemia,AFAP1-AS1,0.146,14
hyperhomocysteinemia,DANCR,0.146,15
hyperhomocysteinemia,LINC00163,0.12,16
hyperhomocysteinemia,NEAT1,0.096,17
hyperhomocysteinemia,DLEU2,0.096,18
hyperhomocysteinemia,GSTT1-AS1,0.092,19
hyperhomocysteinemia,MIR100HG,0.092,20
hyperhomocysteinemia,LINC01556,0.07,21
hyperhomocysteinemia,BANCR,0.064,22
hyperhomocysteinemia,PCGEM1,0.062,23
hyperhomocysteinemia,HYMAI,0.06,24
hyperhomocysteinemia,LINC00299,0.056,25
hyperhomocysteinemia,BCYRN1,0.054,26
hyperhomocysteinemia,LINC00675,0.054,27
hyperhomocysteinemia,IGF2-AS,0.048,28
hyperhomocysteinemia,HULC,0.044,29
hyperhomocysteinemia,WT1-AS,0.044,30
cleft lip,MALAT1,0.564,1
cleft lip,MIR17HG,0.558,2
cleft lip,CDKN2B-AS1,0.534,3
cleft lip,MEG3,0.532,4
cleft lip,GAS5,0.516,5
cleft lip,KCNQ1OT1,0.51,6
cleft lip,HOTAIR,0.484,7
cleft lip,H19,0.476,8
cleft lip,NEAT1,0.47,9
cleft lip,XIST,0.46,10
cleft lip,PCA3,0.432,11
cleft lip,HCP5,0.386,12
cleft lip,LINCMD1,0.324,13
cleft lip,HULC,0.322,14
cleft lip,ATXN8OS,0.298,15
cleft lip,DANCR,0.296,16
cleft lip,MIAT,0.28,17
cleft lip,IGF2-AS,0.266,18
cleft lip,DLEU2,0.262,19
cleft lip,MIR155HG,0.256,20
cleft lip,ESRG,0.254,21
cleft lip,TP53COR1,0.25,22
cleft lip,AFAP1-AS1,0.25,23
cleft lip,RMST,0.248,24
cleft lip,GSTT1-AS1,0.248,25
cleft lip,CCDC26,0.246,26
cleft lip,DISC2,0.244,27
cleft lip,LINC01556,0.234,28
cleft lip,BANCR,0.226,29
cleft lip,HOTTIP,0.224,30
viral infectious disease,CDKN2B-AS1,0.928,1
viral infectious disease,PVT1,0.904,2
viral infectious disease,H19,0.874,3
viral infectious disease,MALAT1,0.868,4
viral infectious disease,MIR155HG,0.832,5
viral infectious disease,HOTAIR,0.83,6
viral infectious disease,KCNQ1OT1,0.824,7
viral infectious disease,MEG3,0.764,8
viral infectious disease,XIST,0.732,9
viral infectious disease,TUG1,0.69,10
viral infectious disease,NEAT1,0.678,11
viral infectious disease,MIAT,0.676,12
viral infectious disease,TP53COR1,0.67,13
viral infectious disease,ESRG,0.636,14
viral infectious disease,LINCMD1,0.586,15
viral infectious disease,BANCR,0.584,16
viral infectious disease,HULC,0.576,17
viral infectious disease,AFAP1-AS1,0.576,18
viral infectious disease,CDKN2A-AS1,0.536,19
viral infectious disease,PISRT1,0.508,20
viral infectious disease,BCYRN1,0.484,21
viral infectious disease,DISC2,0.484,22
viral infectious disease,PCA3,0.482,23
viral infectious disease,WT1-AS,0.466,24
viral infectious disease,LINC00675,0.466,25
viral infectious disease,IGF2-AS,0.45,26
viral infectious disease,HOTTIP,0.448,27
viral infectious disease,THRIL,0.448,28
viral infectious disease,UCA1,0.42,29
viral infectious disease,HAR1A,0.416,30
diabetes mellitus,KCNQ1OT1,0.85,1
diabetes mellitus,H19,0.824,2
diabetes mellitus,NEAT1,0.714,3
diabetes mellitus,TUG1,0.712,4
diabetes mellitus,XIST,0.712,5
diabetes mellitus,GAS5,0.7,6
diabetes mellitus,PCA3,0.684,7
diabetes mellitus,WT1-AS,0.678,8
diabetes mellitus,MIAT,0.67,9
diabetes mellitus,MIR17HG,0.664,10
diabetes mellitus,UCA1,0.644,11
diabetes mellitus,ESRG,0.632,12
diabetes mellitus,HCP5,0.63,13
diabetes mellitus,MIR155HG,0.63,14
diabetes mellitus,CDKN2A-AS1,0.618,15
diabetes mellitus,SPRY4-IT1,0.596,16
diabetes mellitus,HULC,0.592,17
diabetes mellitus,MCHR2-AS1,0.592,18
diabetes mellitus,ATXN8OS,0.586,19
diabetes mellitus,BANCR,0.582,20
diabetes mellitus,TP53COR1,0.578,21
diabetes mellitus,DAOA-AS1,0.574,22
diabetes mellitus,DISC2,0.572,23
diabetes mellitus,BCYRN1,0.56,24
diabetes mellitus,HAR1A,0.554,25
diabetes mellitus,MIR100HG,0.532,26
diabetes mellitus,HOTTIP,0.53,27
diabetes mellitus,PCAT1,0.528,28
diabetes mellitus,LINC00675,0.518,29
diabetes mellitus,LINCMD1,0.516,30
type 2 diabetes mellitus,MALAT1,0.928,1
type 2 diabetes mellitus,H19,0.896,2
type 2 diabetes mellitus,MIR17HG,0.824,3
type 2 diabetes mellitus,KCNQ1OT1,0.814,4
type 2 diabetes mellitus,GAS5,0.77,5
type 2 diabetes mellitus,HOTAIR,0.76,6
type 2 diabetes mellitus,NEAT1,0.696,7
type 2 diabetes mellitus,XIST,0.668,8
type 2 diabetes mellitus,MIAT,0.626,9
type 2 diabetes mellitus,HCP5,0.602,10
type 2 diabetes mellitus,ESRG,0.594,11
type 2 diabetes mellitus,MIR155HG,0.55,12
type 2 diabetes mellitus,TP53COR1,0.536,13
type 2 diabetes mellitus,TUG1,0.514,14
type 2 diabetes mellitus,WT1-AS,0.466,15
type 2 diabetes mellitus,ATXN8OS,0.462,16
type 2 diabetes mellitus,LINCMD1,0.46,17
type 2 diabetes mellitus,DISC2,0.434,18
type 2 diabetes mellitus,BCYRN1,0.432,19
type 2 diabetes mellitus,BANCR,0.418,20
type 2 diabetes mellitus,HULC,0.412,21
type 2 diabetes mellitus,AFAP1-AS1,0.396,22
type 2 diabetes mellitus,PCA3,0.388,23
type 2 diabetes mellitus,CDKN2A-AS1,0.384,24
type 2 diabetes mellitus,HAR1A,0.372,25
type 2 diabetes mellitus,PISRT1,0.354,26
type 2 diabetes mellitus,LINC00675,0.344,27
type 2 diabetes mellitus,MIR100HG,0.34,28
type 2 diabetes mellitus,UCA1,0.34,29
type 2 diabetes mellitus,DLEU2,0.336,30
acute myocardial infarction,H19,0.662,1
acute myocardial infarction,CDKN2B-AS1,0.626,2
acute myocardial infarction,MEG3,0.592,3
acute myocardial infarction,MIR17HG,0.58,4
acute myocardial infarction,XIST,0.554,5
acute myocardial infarction,MALAT1,0.55,6
acute myocardial infarction,PVT1,0.516,7
acute myocardial infarction,HOTAIR,0.488,8
acute myocardial infarction,HCP5,0.464,9
acute myocardial infarction,GAS5,0.444,10
acute myocardial infarction,ESRG,0.42,11
acute myocardial infarction,NEAT1,0.41,12
acute myocardial infarction,AFAP1-AS1,0.38,13
acute myocardial infarction,MIAT,0.376,14
acute myocardial infarction,GSTT1-AS1,0.356,15
acute myocardial infarction,PCA3,0.354,16
acute myocardial infarction,TP53COR1,0.332,17
acute myocardial infarction,DANCR,0.326,18
acute myocardial infarction,HULC,0.32,19
acute myocardial infarction,LINC00163,0.304,20
acute myocardial infarction,ATXN8OS,0.3,21
acute myocardial infarction,MIF-AS1,0.298,22
acute myocardial infarction,MIR155HG,0.296,23
acute myocardial infarction,GNAS-AS1,0.284,24
acute myocardial infarction,IL12A-AS1,0.274,25
acute myocardial infarction,THRIL,0.27,26
acute myocardial infarction,CDKN2A-AS1,0.262,27
acute myocardial infarction,BANCR,0.258,28
acute myocardial infarction,DISC2,0.254,29
acute myocardial infarction,HOTTIP,0.252,30
leukocyte disease,CDKN2B-AS1,0.722,1
leukocyte disease,HOTAIR,0.43,2
leukocyte disease,MEG3,0.346,3
leukocyte disease,MALAT1,0.292,4
leukocyte disease,KCNQ1OT1,0.28,5
leukocyte disease,MIR17HG,0.262,6
leukocyte disease,PVT1,0.232,7
leukocyte disease,XIST,0.206,8
leukocyte disease,GAS5,0.176,9
leukocyte disease,PCA3,0.174,10
leukocyte disease,DANCR,0.154,11
leukocyte disease,CCDC26,0.154,12
leukocyte disease,AFAP1-AS1,0.15,13
leukocyte disease,GNAS-AS1,0.15,14
leukocyte disease,LINC00474,0.146,15
leukocyte disease,LINC00163,0.122,16
leukocyte disease,NEAT1,0.098,17
leukocyte disease,GSTT1-AS1,0.096,18
leukocyte disease,DLEU2,0.094,19
leukocyte disease,MIR100HG,0.09,20
leukocyte disease,LINC01556,0.072,21
leukocyte disease,BANCR,0.064,22
leukocyte disease,PCGEM1,0.064,23
leukocyte disease,HYMAI,0.06,24
leukocyte disease,LINC00299,0.058,25
leukocyte disease,LINC00675,0.058,26
leukocyte disease,BCYRN1,0.052,27
leukocyte disease,IGF2-AS,0.05,28
leukocyte disease,HULC,0.044,29
leukocyte disease,WT1-AS,0.044,30
multiple myeloma,H19,0.988,1
multiple myeloma,CDKN2B-AS1,0.988,2
multiple myeloma,NEAT1,0.882,3
multiple myeloma,UCA1,0.864,4
multiple myeloma,MIR155HG,0.844,5
multiple myeloma,XIST,0.84,6
multiple myeloma,HULC,0.788,7
multiple myeloma,KCNQ1OT1,0.766,8
multiple myeloma,BANCR,0.76,9
multiple myeloma,WT1-AS,0.758,10
multiple myeloma,SPRY4-IT1,0.686,11
multiple myeloma,CCAT2,0.668,12
multiple myeloma,HOTTIP,0.634,13
multiple myeloma,HCP5,0.616,14
multiple myeloma,IGF2-AS,0.612,15
multiple myeloma,BCYRN1,0.602,16
multiple myeloma,DLEU2,0.58,17
multiple myeloma,TP53COR1,0.562,18
multiple myeloma,ESRG,0.53,19
multiple myeloma,HNF1A-AS1,0.516,20
multiple myeloma,CCAT1,0.512,21
multiple myeloma,LINC00675,0.492,22
multiple myeloma,AFAP1-AS1,0.488,23
multiple myeloma,MIR100HG,0.474,24
multiple myeloma,ATXN8OS,0.468,25
multiple myeloma,PCA3,0.46,26
multiple myeloma,MIAT,0.46,27
multiple myeloma,TUSC7,0.454,28
multiple myeloma,CDKN2A-AS1,0.446,29
multiple myeloma,PCAT1,0.41,30
neurofibroma,H19,0.81,1
neurofibroma,MIR17HG,0.39,2
neurofibroma,MALAT1,0.378,3
neurofibroma,HOTAIR,0.36,4
neurofibroma,MEG3,0.31,5
neurofibroma,KCNQ1OT1,0.222,6
neurofibroma,GAS5,0.216,7
neurofibroma,XIST,0.21,8
neurofibroma,PCA3,0.186,9
neurofibroma,CCDC26,0.164,10
neurofibroma,DANCR,0.152,11
neurofibroma,DLEU2,0.14,12
neurofibroma,LINC00163,0.128,13
neurofibroma,PVT1,0.118,14
neurofibroma,MIR100HG,0.116,15
neurofibroma,HYMAI,0.11,16
neurofibroma,RMST,0.104,17
neurofibroma,HULC,0.098,18
neurofibroma,AFAP1-AS1,0.09,19
neurofibroma,DISC2,0.09,20
neurofibroma,GSTT1-AS1,0.09,21
neurofibroma,TP53COR1,0.088,22
neurofibroma,BCYRN1,0.084,23
neurofibroma,BANCR,0.078,24
neurofibroma,ESRG,0.076,25
neurofibroma,MIAT,0.076,26
neurofibroma,PCGEM1,0.076,27
neurofibroma,CDKN2A-AS1,0.064,28
neurofibroma,WT1-AS,0.064,29
neurofibroma,MIR155HG,0.06,30
type 1 diabetes mellitus,KCNQ1OT1,0.686,1
type 1 diabetes mellitus,MALAT1,0.644,2
type 1 diabetes mellitus,NEAT1,0.632,3
type 1 diabetes mellitus,CDKN2B-AS1,0.62,4
type 1 diabetes mellitus,MIR17HG,0.584,5
type 1 diabetes mellitus,GAS5,0.574,6
type 1 diabetes mellitus,MIAT,0.554,7
type 1 diabetes mellitus,HCP5,0.532,8
type 1 diabetes mellitus,XIST,0.528,9
type 1 diabetes mellitus,PCA3,0.5,10
type 1 diabetes mellitus,ESRG,0.474,11
type 1 diabetes mellitus,HOTAIR,0.472,12
type 1 diabetes mellitus,MIR155HG,0.448,13
type 1 diabetes mellitus,WT1-AS,0.41,14
type 1 diabetes mellitus,TUG1,0.408,15
type 1 diabetes mellitus,ATXN8OS,0.408,16
type 1 diabetes mellitus,TP53COR1,0.398,17
type 1 diabetes mellitus,DISC2,0.36,18
type 1 diabetes mellitus,BCYRN1,0.352,19
type 1 diabetes mellitus,PCGEM1,0.35,20
type 1 diabetes mellitus,LINCMD1,0.34,21
type 1 diabetes mellitus,HULC,0.334,22
type 1 diabetes mellitus,BANCR,0.316,23
type 1 diabetes mellitus,H19,0.316,24
type 1 diabetes mellitus,LINC01556,0.302,25
type 1 diabetes mellitus,CDKN2A-AS1,0.298,26
type 1 diabetes mellitus,RMST,0.292,27
type 1 diabetes mellitus,DANCR,0.29,28
type 1 diabetes mellitus,DLEU2,0.284,29
type 1 diabetes mellitus,EWSAT1,0.28,30
refractive error,PISRT1,0.44,1
refractive error,THRIL,0.42,2
refractive error,DLEU2,0.418,3
refractive error,LINCMD1,0.392,4
refractive error,ATXN8OS,0.37,5
refractive error,GSTT1-AS1,0.364,6
refractive error,TP53TG1,0.362,7
refractive error,CCDC26,0.358,8
refractive error,MIF-AS1,0.356,9
refractive error,PCA3,0.332,10
refractive error,BCYRN1,0.33,11
refractive error,IL12A-AS1,0.324,12
refractive error,TP53COR1,0.318,13
refractive error,ESRG,0.31,14
refractive error,XIST,0.308,15
refractive error,PWAR4,0.298,16
refractive error,GNAS-AS1,0.298,17
refractive error,LINC00299,0.294,18
refractive error,DISC2,0.292,19
refractive error,DAOA-AS1,0.292,20
refractive error,LINC00163,0.29,21
refractive error,LINC01556,0.286,22
refractive error,DANCR,0.276,23
refractive error,MIAT,0.274,24
refractive error,IFNG-AS1,0.266,25
refractive error,MCHR2-AS1,0.26,26
refractive error,NRON,0.258,27
refractive error,LINC01080,0.244,28
refractive error,HYMAI,0.244,29
refractive error,CDKN2A-AS1,0.244,30
alopecia,GAS5,0.636,1
alopecia,MIR17HG,0.634,2
alopecia,HCP5,0.606,3
alopecia,KCNQ1OT1,0.604,4
alopecia,MALAT1,0.548,5
alopecia,CDKN2B-AS1,0.528,6
alopecia,MIR155HG,0.524,7
alopecia,XIST,0.504,8
alopecia,HOTAIR,0.492,9
alopecia,ESRG,0.478,10
alopecia,PCA3,0.464,11
alopecia,MIAT,0.452,12
alopecia,TP53COR1,0.442,13
alopecia,BANCR,0.418,14
alopecia,LINCMD1,0.416,15
alopecia,HULC,0.412,16
alopecia,ATXN8OS,0.398,17
alopecia,DISC2,0.358,18
alopecia,RMST,0.352,19
alopecia,TUG1,0.34,20
alopecia,LINC01556,0.34,21
alopecia,IGF2-AS,0.336,22
alopecia,DANCR,0.312,23
alopecia,H19,0.3,24
alopecia,BCYRN1,0.286,25
alopecia,EWSAT1,0.278,26
alopecia,DLEU2,0.268,27
alopecia,MEG3,0.266,28
alopecia,THRIL,0.258,29
alopecia,CDKN2A-AS1,0.256,30
muscular dystrophy,ATXN8OS,0.59,1
muscular dystrophy,XIST,0.468,2
muscular dystrophy,PISRT1,0.46,3
muscular dystrophy,THRIL,0.44,4
muscular dystrophy,TP53COR1,0.432,5
muscular dystrophy,PCA3,0.422,6
muscular dystrophy,MIAT,0.392,7
muscular dystrophy,DANCR,0.386,8
muscular dystrophy,ESRG,0.362,9
muscular dystrophy,HCP5,0.36,10
muscular dystrophy,DISC2,0.358,11
muscular dystrophy,CDKN2A-AS1,0.332,12
muscular dystrophy,GSTT1-AS1,0.324,13
muscular dystrophy,DAOA-AS1,0.312,14
muscular dystrophy,MIF-AS1,0.31,15
muscular dystrophy,AFAP1-AS1,0.298,16
muscular dystrophy,IL12A-AS1,0.296,17
muscular dystrophy,MCHR2-AS1,0.292,18
muscular dystrophy,PVT1,0.284,19
muscular dystrophy,HULC,0.272,20
muscular dystrophy,DLEU2,0.264,21
muscular dystrophy,TP53TG1,0.26,22
muscular dystrophy,KCNQ1OT1,0.258,23
muscular dystrophy,MIR155HG,0.254,24
muscular dystrophy,LINC00163,0.252,25
muscular dystrophy,MIR100HG,0.242,26
muscular dystrophy,GNAS-AS1,0.234,27
muscular dystrophy,CCDC26,0.232,28
muscular dystrophy,IFNG-AS1,0.23,29
muscular dystrophy,MIR17HG,0.23,30
lymph node disease,MIF-AS1,0.656,1
lymph node disease,GSTT1-AS1,0.582,2
lymph node disease,TP53TG1,0.544,3
lymph node disease,IL12A-AS1,0.534,4
lymph node disease,LINC00163,0.468,5
lymph node disease,LINC00299,0.468,6
lymph node disease,NRON,0.458,7
lymph node disease,LINCMD1,0.44,8
lymph node disease,PWAR4,0.422,9
lymph node disease,GNAS-AS1,0.412,10
lymph node disease,PISRT1,0.404,11
lymph node disease,DANCR,0.404,12
lymph node disease,DAOA-AS1,0.39,13
lymph node disease,ATXN8OS,0.348,14
lymph node disease,DISC2,0.316,15
lymph node disease,PCA3,0.314,16
lymph node disease,XIST,0.314,17
lymph node disease,MCHR2-AS1,0.312,18
lymph node disease,IFNG-AS1,0.29,19
lymph node disease,DLEU2,0.262,20
lymph node disease,ESRG,0.258,21
lymph node disease,CCDC26,0.254,22
lymph node disease,LINC01080,0.244,23
lymph node disease,HYMAI,0.24,24
lymph node disease,AFAP1-AS1,0.238,25
lymph node disease,SNHG11,0.228,26
lymph node disease,TP53COR1,0.226,27
lymph node disease,MIAT,0.226,28
lymph node disease,HCP5,0.222,29
lymph node disease,LINC01556,0.222,30
acute lymphocytic leukemia,H19,0.716,1
acute lymphocytic leukemia,MIR17HG,0.348,2
acute lymphocytic leukemia,MALAT1,0.306,3
acute lymphocytic leukemia,HOTAIR,0.296,4
acute lymphocytic leukemia,GAS5,0.2,5
acute lymphocytic leukemia,XIST,0.198,6
acute lymphocytic leukemia,PCA3,0.194,7
acute lymphocytic leukemia,MEG3,0.188,8
acute lymphocytic leukemia,KCNQ1OT1,0.182,9
acute lymphocytic leukemia,CCDC26,0.162,10
acute lymphocytic leukemia,DANCR,0.146,11
acute lymphocytic leukemia,DLEU2,0.14,12
acute lymphocytic leukemia,LINC00163,0.126,13
acute lymphocytic leukemia,PVT1,0.114,14
acute lymphocytic leukemia,MIR100HG,0.108,15
acute lymphocytic leukemia,HULC,0.104,16
acute lymphocytic leukemia,HYMAI,0.104,17
acute lymphocytic leukemia,RMST,0.102,18
acute lymphocytic leukemia,BCYRN1,0.092,19
acute lymphocytic leukemia,AFAP1-AS1,0.09,20
acute lymphocytic leukemia,GSTT1-AS1,0.09,21
acute lymphocytic leukemia,TP53COR1,0.088,22
acute lymphocytic leukemia,BANCR,0.088,23
acute lymphocytic leukemia,DISC2,0.086,24
acute lymphocytic leukemia,ESRG,0.082,25
acute lymphocytic leukemia,PCGEM1,0.076,26
acute lymphocytic leukemia,MIAT,0.074,27
acute lymphocytic leukemia,WT1-AS,0.074,28
acute lymphocytic leukemia,CDKN2A-AS1,0.064,29
acute lymphocytic leukemia,LINC01556,0.06,30
obesity,CDKN2B-AS1,0.784,1
obesity,MALAT1,0.77,2
obesity,DAOA-AS1,0.734,3
obesity,TP53TG1,0.698,4
obesity,GNAS-AS1,0.696,5
obesity,MEG3,0.686,6
obesity,LINC00271,0.65,7
obesity,PWAR4,0.644,8
obesity,KCNQ1OT1,0.642,9
obesity,HOTAIR,0.634,10
obesity,THRIL,0.59,11
obesity,DISC2,0.584,12
obesity,HYMAI,0.578,13
obesity,NRON,0.576,14
obesity,HCG9,0.572,15
obesity,PVT1,0.564,16
obesity,LINC00474,0.556,17
obesity,HLA-F-AS1,0.548,18
obesity,LINC01556,0.546,19
obesity,PISRT1,0.534,20
obesity,MIAT,0.516,21
obesity,LINC00299,0.516,22
obesity,MIF-AS1,0.512,23
obesity,IL12A-AS1,0.498,24
obesity,GSTT1-AS1,0.484,25
obesity,IFNG-AS1,0.456,26
obesity,ESRG,0.454,27
obesity,HAR1A,0.454,28
obesity,LINCMD1,0.45,29
obesity,MIR503HG,0.45,30
substance dependence,KCNQ1OT1,0.72,1
substance dependence,CDKN2B-AS1,0.694,2
substance dependence,MALAT1,0.684,3
substance dependence,H19,0.68,4
substance dependence,MIR17HG,0.588,5
substance dependence,HOTAIR,0.546,6
substance dependence,ESRG,0.534,7
substance dependence,CDKN2A-AS1,0.492,8
substance dependence,XIST,0.484,9
substance dependence,DISC2,0.468,10
substance dependence,HCP5,0.46,11
substance dependence,ATXN8OS,0.456,12
substance dependence,TP53COR1,0.426,13
substance dependence,MIR155HG,0.402,14
substance dependence,HAR1A,0.402,15
substance dependence,NEAT1,0.394,16
substance dependence,GAS5,0.382,17
substance dependence,BCYRN1,0.358,18
substance dependence,TUG1,0.316,19
substance dependence,PISRT1,0.314,20
substance dependence,PCA3,0.31,21
substance dependence,DAOA-AS1,0.296,22
substance dependence,PVT1,0.292,23
substance dependence,IGF2-AS,0.288,24
substance dependence,NRON,0.282,25
substance dependence,RMST,0.272,26
substance dependence,MCHR2-AS1,0.264,27
substance dependence,TP53TG1,0.258,28
substance dependence,LINC01556,0.256,29
substance dependence,AFAP1-AS1,0.254,30
drug dependence,KCNQ1OT1,0.72,1
drug dependence,CDKN2B-AS1,0.694,2
drug dependence,MALAT1,0.684,3
drug dependence,H19,0.68,4
drug dependence,MIR17HG,0.588,5
drug dependence,HOTAIR,0.546,6
drug dependence,ESRG,0.534,7
